lastname;firstname;email;class;subject
Johnson;Patricia;martinez.linda@school.com;10B;Physics
Martinez;Linda;jones.james@school.com;12A;Chemistry
Jones;Jennifer;martinez.james@school.com;12A;Literature
Brown;Patricia;johnson.william@school.com;11A;History
Miller;Jennifer;smith.elizabeth@school.com;10A;Chemistry
Smith;Patricia;martinez.john@school.com;11B;Physics
Davis;John;smith.william@school.com;11A;History
Smith;Linda;martinez.william@school.com;11B;Chemistry
Davis;Linda;miller.elizabeth@school.com;11A;Mathematics
Davis;Jennifer;johnson.michael@school.com;10A;Literature
Miller;John;jones.elizabeth@school.com;10B;Chemistry
Brown;Michael;miller.william@school.com;10A;Chemistry
Brown;Jennifer;garcia.linda@school.com;12A;Mathematics
Garcia;Elizabeth;garcia.james@school.com;12A;Chemistry
Smith;Patricia;williams.james@school.com;11B;Literature
Smith;Michael;hernandez.robert@school.com;10B;Physics
Jones;Jennifer;garcia.patricia@school.com;12A;Mathematics
Williams;John;johnson.robert@school.com;11A;Literature
Brown;John;martinez.robert@school.com;10B;Physics
Davis;John;martinez.elizabeth@school.com;11B;History
Martinez;Mary;davis.jennifer@school.com;10B;Literature
Davis;John;miller.james@school.com;11A;History
Garcia;William;martinez.mary@school.com;11A;Mathematics
Brown;Linda;johnson.robert@school.com;11A;Physics
Johnson;James;jones.elizabeth@school.com;11A;Physics
Williams;Patricia;davis.john@school.com;10A;Physics
Williams;Robert;smith.jennifer@school.com;10B;Chemistry
Brown;James;johnson.mary@school.com;11A;Chemistry
Garcia;John;williams.michael@school.com;12A;History
Garcia;Robert;williams.john@school.com;12A;Mathematics
Martinez;Jennifer;johnson.linda@school.com;11B;History
Smith;Jennifer;williams.patricia@school.com;11B;Literature
Jones;Jennifer;miller.mary@school.com;12A;Physics
Williams;Patricia;martinez.patricia@school.com;10B;Chemistry
Davis;Mary;miller.jennifer@school.com;10B;History
Jones;Michael;brown.michael@school.com;11A;Literature
Davis;Elizabeth;williams.robert@school.com;10B;Literature
Garcia;Mary;garcia.michael@school.com;11B;Mathematics
Johnson;Elizabeth;smith.james@school.com;11B;Mathematics
Hernandez;James;davis.mary@school.com;10B;Literature
